"lista_cartas_faltando.nomes_cartas"
"Agent of Treachery"
"Animate Dead"
"Arcbound Crusher"
"Argothian Elder"
"Beacon of Immortality"
"Blood Artist"
"Bloodsoaked Champion"
"Boros Reckoner"
"Conjurer's Closet"
"Consulate Crackdown"
"Deathrender"
"Demonic Consultation"
"Duskmantle Guildmage"
"Embalmer's Tools"
"Erayo, Soratami Ascendant"
"Escape Protocol"
"Eternal Witness"
"Frenetic Efreet"
"Gilded Lotus"
"Glacial Chasm"
"God-Eternal Oketra"
"Grinning Ignus"
"Imperious Perfect"
"Bloodline Keeper"
"Izzet Guildmage"
"Leonin Relic-Warder"
"Lethal Vapors"
"Leyline of the Void"
"Linvala, Keeper of Silence"
"Living Plane"
"Llanowar Scout"
"Magus of the Future"
"March of the Machines"
"Marrow-Gnawer"
"Midnight Guard"
"Mindslaver"
"Minion Reflector"
"Molten Echoes"
"Mystic Decree"
"Mystic Forge"
"Mystic Sanctuary"
"Nature's Will"
"Nettle Drone"
"Phyrexian Altar"
"Phyrexian Devourer"
"Possessed Skaab"
"Renegade Rallier"
"Savage Ventmaw"
"Selvala, Heart of the Wilds"
"Shipwreck Dowser"
"Soul Warden"
"Spike Feeder"
"Stormfront Riders"
"Teferi, Temporal Archmage"
"Teferi's Puzzle Box"
"Thassa, Deep-Dwelling"
"Thornbite Staff"
"Time Walk"
"Twinning Staff"
"Zhur-Taa Druid"
"Cogwork Assembler"
"Lotus Field"
"Dread Slaver"
"Krark-Clan Ironworks"
"Eldrazi Displacer"
"Basri's Lieutenant"
"Garruk Relentless"
"Brine Elemental"
"Patron of the Moon"
"Lifelink"
"Primal Amulet"
"Arcbound Ravager"
"Battered Golem"
"Mycosynth Golem"
"Leech Bonder"
"Stonecoil Serpent"
"Eternal Scourge"
"Ob Nixilis, Unshackled"
"Goblin Bombardment"
"Coveted Jewel"
"Wall of Blood"
"Spatial Binding"
"Necropotence"
"Carrion Howler"
"Blood Celebrant"
"Rune-Tail, Kitsune Ascendant"
"Kefnet's Monument"
"Mythos of Illuna"
"Ghostly Flicker"
"Sek'kuar, Deathkeeper"
"Najeela, The Blade-Blossom"
"Journey to Eternity"
"Mirror Sheen"
"Naru Meha, Master WIzard"
"Heartless Hidetsugu"
"Peer Into The Abyss"
"Treasonous Ogre"
"Nature's Revolt"
"Saffi Eriksdotter
"
"Thromok, The Insatiable"
"Undercity Informer"
"Spellseeker"
"Voltaic Construct"
"Chandra, Torch of Defiance"
"Oath of Druids"
"Thopter Squadron"
"Tormod the Desecrator"
"Goblin Warrens"
"Auriok Salvagers"
"Halvar, God of Battle"
"Heartmender"
"Putrid Goblin"
"Thunderblust"
"Magus of the Order"
"Nevinyrral, Urborg Tyrant
"
"Lightning Greaves"
"Treasury Thrull"
"Soul of Innistrad"
"Dreams of the Dead"
"Birgi, God of Storytelling"
"Animating Faerie"
"Squirrel Wrangler"
"Emiel, the Blessed"
"Circle of Dreams Druid"
"Grim Hireling"
"Deadly Dispute"
"Phantom Steed"
"Lightning Runner"
"Necrosynthesis"
"Sigarda's Summons"
"Weaver of Blossoms"
"Mirrorhall Mimic"
"Infestation Expert"
"Panicked Bystander"
"Catapult Fodder"
"Myojin of Cryptic Dreams"
"Sparring Mummy"
"Thornbite Staff"
"Master of Cruelties"
"Grinning Ignus"
"Molten Echoes"
"Aether Storm"
"Blood Artist"
"Mirror Entity"
"Helm of the Host"
"Midnight Guard"
"Tainted Remedy"
"Eldrazi Displacer"
"Phyrexian Altar"
"Witch's Oven"
"Frenetic Efreet"
"Time Walk"
"Eternal Witness"
"Gravedigger"
"Heartless Hidetsugu"
"Auriok Salvagers"
"Chain of Vapor"
"Silent Departure"
"Word of Undoing"
"Sword of the Paruns"
"Bloodsoaked Champion"
"Argothian Elder"
"Lightning Bolt"
"Eternal Scourge"
"Blood Celebrant"
"Journey to Eternity"
"Runaway Steam-Kin"
"Putrid Goblin"
"Bloodline Necromancer"
"Thraben Doomsayer"
"Mystic Decree"
"Energy Arc"
"Phyrexian Devourer"
"Voltaic Construct"
"Animate Dead"
"Insatiable Hemophage"
"Restoration Angel"
"Elvish Harbinger"
"Paradise Druid"
"Rosethorn Acolyte"
"Krark-Clan Ironworks"
"Oath of Druids"
"Living Plane"
"Stonecoil Serpent"
"Aetherling"
"Goblin Charbelcher"
"Mindlock Orb"
"Primal Vigor"
"Ghostly Flicker"
"Desperate Ritual"
"Worldheart Phoenix"
"Teferi's Puzzle Box"
"Perilous Forays"
"Darksteel Forge"
"Leonin Relic-Warder"
"Minion Reflector"
"March of the Machines"
"Titania's Song"
"Phyrexian Delver"
"Elvish Pioneer"
"Darksteel Plate"
"Battered Golem"
"Budoka Gardener"
"Llanowar Scout"
"Living Twister"
"Phyrexian Metamorph"
"Deathrender"
"Necropotence"
"Goblin Firestarter"
"Savage Beating"
"Genesis Chamber"
"Into the Maw of Hell"
"Shivan Meteor"
"False Demise"
"Myr Retriever"
"Scrap Trawler"
"Sword of the Meek"
"Lightning Prowess"
"Viridian Longbow"
"Thran Dynamo"
"Mystic Forge"
"Burning Inquiry"
"Lotus Field"
